"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
2749,0,0,0,11,11,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2750,10,0,0,0,10,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2752,0,0,0,11,11,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2754,0,0,0,7,7,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2755,0,0,0,8,8,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2756,4,1,1,0,4,100,25,25,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2757,0,0,0,6,6,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2758,1,0,0,9,10,10,0,0,90,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2759,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2760,3,4,0,0,4,75,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2761,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2762,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2763,3,0,0,4,7,43,0,0,57,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2764,10,10,0,1,11,91,91,0,9,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2765,6,0,0,0,6,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2766,5,0,1,1,6,83,0,17,17,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2767,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2769,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2770,7,4,3,0,8,88,50,38,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2772,5,0,1,0,5,100,0,20,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2773,1,0,0,9,10,10,0,0,90,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2774,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2775,0,0,0,6,6,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2776,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2778,1,1,0,0,1,100,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2779,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2780,3,0,1,1,4,75,0,25,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2781,7,5,3,0,7,100,71,43,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2782,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2783,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2784,5,5,0,0,6,83,83,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2785,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2786,6,0,0,0,6,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2787,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2788,8,0,0,0,8,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2789,1,0,0,4,5,20,0,0,80,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2790,6,0,0,1,7,86,0,0,14,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2791,7,1,0,3,10,70,10,0,30,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2793,0,0,0,10,10,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2794,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2795,4,0,0,1,5,80,0,0,20,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2797,5,0,0,0,5,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2800,0,0,0,2,2,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2801,8,1,0,0,8,100,12,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2802,1,1,0,0,1,100,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2803,5,0,0,4,9,56,0,0,44,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2806,0,1,0,9,10,0,10,0,90,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2810,0,0,0,11,11,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2813,1,1,0,1,2,50,50,0,50,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2814,5,2,0,0,5,100,40,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2833,1,1,1,0,1,100,100,100,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2834,0,2,0,6,8,0,25,0,75,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2835,4,1,0,1,5,80,20,0,20,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2836,3,1,0,1,4,75,25,0,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2837,2,2,1,2,5,40,40,20,40,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2838,4,4,0,3,8,50,50,0,38,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2839,9,0,0,0,9,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2840,6,6,0,1,7,86,86,0,14,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2843,9,1,1,0,9,100,11,11,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2844,2,0,0,7,9,22,0,0,78,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2845,0,0,0,11,11,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2846,8,1,0,0,8,100,12,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2848,6,2,2,1,7,86,29,29,14,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2849,7,1,0,1,8,88,12,0,12,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2851,0,0,0,13,13,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2852,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2853,8,0,1,2,10,80,0,10,20,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2854,5,0,0,7,12,42,0,0,58,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2856,0,0,0,2,2,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2857,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2858,4,0,1,0,4,100,0,25,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2859,2,0,0,10,12,17,0,0,83,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2861,1,2,1,8,10,10,20,10,80,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2862,0,0,0,15,15,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2863,3,0,0,2,5,60,0,0,40,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2864,2,2,0,8,10,20,20,0,80,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2865,9,4,0,0,9,100,44,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2866,8,0,1,1,9,89,0,11,11,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2867,9,3,1,0,9,100,33,11,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2868,0,0,0,3,3,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2869,8,8,0,0,8,100,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2872,7,0,1,0,7,100,0,14,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2873,1,1,0,9,10,10,10,0,90,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2874,1,1,1,6,7,14,14,14,86,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2875,3,1,1,2,6,50,17,17,33,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2876,5,0,1,0,5,100,0,20,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2877,7,0,0,3,10,70,0,0,30,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2878,10,3,5,0,10,100,30,50,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2879,6,6,0,3,9,67,67,0,33,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2880,0,0,0,8,8,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2881,1,1,1,0,1,100,100,100,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2882,4,2,0,2,8,50,25,0,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2883,3,1,0,0,3,100,33,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2884,1,0,0,8,9,11,0,0,89,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2885,9,1,1,0,9,100,11,11,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2887,2,0,0,11,13,15,0,0,85,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2888,8,1,1,0,9,89,11,11,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2889,5,2,0,1,7,71,29,0,14,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2890,3,4,1,2,8,38,50,12,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2891,3,2,0,6,10,30,20,0,60,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2892,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2893,9,3,1,1,10,90,30,10,10,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2894,4,3,2,0,4,100,75,50,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2895,8,2,0,0,8,100,25,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2896,0,0,0,14,14,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2897,6,0,0,0,6,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2898,2,0,0,0,2,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2899,3,2,0,4,9,33,22,0,44,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2900,2,1,1,1,4,50,25,25,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2901,2,2,0,0,2,100,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2902,7,0,0,0,7,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2903,0,0,0,9,9,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2904,6,6,1,0,6,100,100,17,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2905,5,0,1,0,5,100,0,20,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2906,0,0,0,8,8,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2907,13,4,2,0,13,100,31,15,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2908,5,0,0,2,7,71,0,0,29,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2909,11,1,1,0,11,100,9,9,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2910,0,0,0,4,4,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2913,1,0,0,11,12,8,0,0,92,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2914,1,0,0,4,5,20,0,0,80,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2915,0,0,0,10,10,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2916,0,0,0,4,4,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2918,6,2,1,0,6,100,33,17,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2919,3,0,0,0,3,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2920,0,1,0,9,10,0,10,0,90,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2921,0,0,0,6,6,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2922,9,6,4,0,9,100,67,44,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2923,3,0,0,2,5,60,0,0,40,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2924,0,0,0,10,10,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2925,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2926,2,0,0,0,2,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2927,0,0,0,12,12,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2928,6,6,1,2,8,75,75,12,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2929,5,0,0,5,10,50,0,0,50,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2930,8,1,0,2,11,73,9,0,18,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2931,12,4,3,0,12,100,33,25,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2933,4,0,0,0,4,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2934,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2935,4,1,1,0,4,100,25,25,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2936,1,3,1,1,4,25,75,25,25,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2939,0,0,0,13,13,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2940,12,0,0,0,12,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2941,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2942,0,0,0,14,14,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2943,6,0,0,0,6,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2944,0,0,0,5,5,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2946,7,2,1,0,7,100,29,14,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2947,8,2,0,0,8,100,25,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2948,3,0,0,0,3,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2949,11,2,0,0,11,100,18,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2950,1,1,0,1,3,33,33,0,33,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
