"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
1686,0,0,0,0,15,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1687,0,0,0,0,19,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1688,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1690,0,0,0,0,2,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1692,0,1,0,0,2,0,50,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1693,5,1,1,0,8,62,12,12,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1695,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1698,0,1,0,0,2,0,50,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1699,0,0,0,0,2,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1700,0,0,0,0,5,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1702,0,0,0,0,11,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1704,0,0,0,0,13,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1705,4,0,0,0,4,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1706,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1707,0,0,0,0,2,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1708,6,0,0,0,13,46,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1709,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1711,3,3,0,0,11,27,27,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1712,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1713,3,0,0,0,8,38,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1715,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
