"StudentID","SubmissionID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade","project","course","sem","report"
"S8527661",3278,"T19","29/04/13 14:26",35,80,65,80,65,65,50,50,50,50,50,50,50,"80",56,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8584785",3279,"T30","29/04/13 14:26",35,100,65,35,100,100,50,35,50,50,50,50,65,"65",56.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8592795",3281,"T32","29/04/13 14:26",65,65,65,80,100,80,35,50,100,65,50,100,65,"80",67.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8530961",3282,"T19","29/04/13 14:26",50,80,80,80,65,80,50,35,50,65,50,65,65,"65",61.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588339",3283,"T31","29/04/13 14:26",80,100,80,100,100,100,80,80,80,80,65,80,80,"80",83.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8574613",3624,"T19","29/04/13 14:26",50,65,50,65,0,0,50,20,65,35,50,50,50,"65",42.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8357111",3285,"T31","29/04/13 14:26",80,65,65,100,80,100,50,50,80,65,80,80,65,"80",70.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8577309",3286,"T32","29/04/13 14:26",35,80,65,80,100,80,80,80,100,80,80,100,50,"65",74.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588449",3287,"T31","29/04/13 14:26",80,65,100,100,100,80,80,100,100,80,80,100,100,"100",89.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8473277",3288,"T30","29/04/13 14:26",50,100,80,65,100,80,0,20,20,50,35,50,50,"50",50,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8527279",3289,"T32","29/04/13 14:26",80,65,80,65,100,80,80,100,100,100,65,100,100,"100",87.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8530361",3290,"T32","29/04/13 14:29",65,80,65,65,80,65,65,50,80,80,50,100,80,"80",70.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8575311",3291,"T19","29/04/13 14:29",35,65,65,50,80,65,35,20,65,35,50,50,35,"80",47.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8587633",3292,"T31","29/04/13 14:26",80,100,100,65,100,100,80,80,100,80,50,80,100,"80",84.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8409797",3293,"T19","29/04/13 14:26",65,80,80,80,65,80,50,35,50,50,50,65,50,"80",60.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578397",3294,"T19","29/04/13 14:26",35,65,80,80,80,50,65,35,50,50,50,65,65,"65",57.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8594143",3297,"T31","29/04/13 14:26",20,65,50,35,20,20,35,50,50,35,35,65,50,"50",40.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8531381",3298,"T31","29/04/13 14:26",35,100,80,50,50,65,35,20,35,20,50,65,65,"80",48,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8586153",3299,"T31","29/04/13 14:26",50,80,65,50,35,65,65,80,65,65,80,65,80,"65",65,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8534409",3300,"T19","29/04/13 14:26",50,80,50,50,50,80,35,35,50,35,50,65,35,"50",47.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8285971",3301,"T19","29/04/13 14:26",50,80,80,80,65,80,50,35,50,50,50,50,50,"65",57.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8535021",3302,"T30","29/04/13 14:26",65,100,80,65,100,100,50,65,65,65,65,100,50,"65",71.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588741",3303,"T30","29/04/13 14:26",35,80,65,50,100,80,50,35,50,35,65,50,50,"65",53.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8566849",3305,"T19","29/04/13 14:26",35,35,35,35,50,50,35,35,50,50,50,50,35,"35",41,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8597903",3307,"T31","29/04/13 14:26",35,50,65,65,65,35,20,35,65,35,35,20,50,"65",43.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588255",3309,"T30","29/04/13 14:26",50,80,50,80,100,65,50,50,50,50,50,65,50,"65",57.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8593265",3310,"T30","29/04/13 14:26",50,100,65,65,100,100,65,65,80,65,65,65,65,"65",69.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8619457",3311,"T19","29/04/13 14:26",65,80,80,80,65,80,65,35,65,65,65,65,65,"80",66.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8551691",3312,"T31","10/05/13 11:43",35,50,35,65,65,50,35,35,50,35,35,50,35,"50",41.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8510981",3313,"T30","29/04/13 14:26",65,100,65,65,65,100,65,80,100,65,50,50,80,"65",71,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8582195",3314,"T30","29/04/13 14:26",50,100,65,65,100,100,50,50,65,50,50,50,65,"65",62,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8580303",3315,"T32","29/04/13 14:26",35,80,80,50,100,100,35,20,35,50,35,80,65,"100",56.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8587235",3316,"T32","29/04/13 14:29",50,80,65,80,80,80,50,35,35,35,65,100,35,"35",54.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588893",3317,"T32","29/04/13 14:29",20,65,50,20,80,35,35,35,35,35,50,50,20,"35",38.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8406251",3318,"T19","29/04/13 14:29",35,50,50,80,65,65,50,35,50,50,50,50,35,"65",50,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8580399",3319,"T31","29/04/13 14:26",65,100,65,65,100,100,65,80,80,80,65,80,65,"80",76.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579731",3320,"T19","29/04/13 14:29",65,65,35,35,65,80,35,20,35,35,35,50,35,"50",43.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8574607",3321,"T30","29/04/13 14:26",65,100,80,80,80,100,65,50,65,65,50,65,65,"80",70,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8474767",3323,"T32","29/04/13 14:31",80,100,100,100,100,80,65,65,80,65,50,100,80,"100",80.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8580361",3324,"T09","29/04/13 14:31",35,100,100,100,80,100,50,35,35,35,65,80,65,"80",62.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8528461",3325,"T09","2/05/13 12:24",20,100,65,80,50,80,35,20,65,35,50,35,50,"65",48,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8282157",3326,"T26","29/04/13 14:31",50,80,80,65,100,80,35,0,20,20,35,50,50,"50",46,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8535761",3327,"T32","29/04/13 14:31",65,80,80,80,100,80,35,35,65,65,35,80,80,"100",66.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8638075",3328,"T30","29/04/13 14:31",65,65,65,80,80,65,65,65,65,65,65,65,65,"65",66.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8577127",3329,"T32","29/04/13 14:31",65,80,80,65,100,80,35,20,50,50,20,100,65,"65",58.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8600351",3331,"T30","29/04/13 14:31",35,80,50,50,80,65,50,50,35,50,50,50,65,"65",53,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8538157",3332,"T09","29/04/13 14:31",50,100,80,20,100,100,0,20,65,35,20,80,50,"80",51,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8576659",3333,"T26","29/04/13 14:31",100,100,100,100,100,80,100,100,80,100,100,100,80,"100",97,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8575941",3334,"T33","29/04/13 14:31",35,80,35,80,50,35,65,50,35,50,35,65,50,"65",50.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8651257",3335,"T33","29/04/13 14:31",20,65,100,35,35,50,35,35,65,35,20,50,35,"50",44.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
