"SubmissionID","marking.sec","Text","Drawing","Recording","project","course","sem","report","marking.min"
1649,994,36,0,64,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.57
1651,889,81,19,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.82
1652,384,81,0,19,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.4
1943,1203,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",20.05
1654,727,78,22,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.12
1655,1002,61,28,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.7
1656,935,81,19,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.58
1657,1490,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.83
1658,2291,32,28,40,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",38.18
1659,2057,42,5,53,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",34.28
1660,4901,43,41,16,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",81.68
1661,1415,60,28,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.58
1662,1355,73,0,27,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.58
1663,612,82,18,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.2
1664,671,73,27,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.18
1665,594,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.9
1666,576,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.6
1667,538,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.97
1668,4868,25,0,75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",81.13
1942,1029,44,0,56,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.15
1670,1780,28,17,56,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.67
1671,800,85,8,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.33
1672,1170,79,4,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.5
1673,1072,55,0,45,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.87
1674,1002,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.7
1675,1172,75,0,25,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.53
1676,1196,66,19,16,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.93
1941,472,82,14,5,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.87
1679,3870,18,43,39,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",64.5
1680,985,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.42
1681,1447,33,0,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.12
1682,81,59,24,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1.35
1683,1496,35,24,41,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.93
1684,1132,22,0,78,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.87
1685,1383,69,31,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.05
1686,562,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.37
1687,2841,17,43,40,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",47.35
1688,1703,90,0,10,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",28.38
1689,259,88,12,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4.32
1690,1052,71,0,29,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.53
1691,673,76,24,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.22
1692,1265,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.08
1693,1028,23,15,62,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.13
1695,645,91,0,9,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.75
1938,820,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.67
1698,1593,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",26.55
1699,1831,78,0,22,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",30.52
1700,305,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",5.08
1937,770,29,0,71,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.83
1702,774,21,0,79,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.9
1704,1087,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.12
1705,1503,76,5,19,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",25.05
1706,889,86,0,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.82
1707,1886,89,0,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",31.43
1708,588,13,0,87,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.8
1709,1010,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.83
1936,374,74,11,15,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.23
1711,3015,7,20,73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",50.25
1712,1272,83,8,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.2
1713,1160,18,9,73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.33
2185,1753,60,40,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.22
1715,805,83,8,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.42
1717,3566,23,51,26,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",59.43
1718,521,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.68
1719,3081,26,41,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",51.35
1720,4871,52,34,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",81.18
1722,471,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.85
1723,594,33,0,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.9
1724,798,31,16,54,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.3
1725,984,80,20,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.4
1726,397,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.62
1727,837,7,14,79,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.95
1729,1121,72,19,9,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.68
1730,431,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.18
1731,1244,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",20.73
1732,512,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.53
1733,733,14,14,71,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.22
1734,634,86,5,10,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.57
1735,590,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.83
1736,704,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.73
1737,489,74,9,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.15
1738,558,78,6,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.3
1739,995,86,14,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.58
1740,1152,68,21,12,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.2
1932,1453,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.22
1742,493,92,8,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.22
1743,656,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.93
1744,1659,54,30,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.65
1745,542,60,10,30,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.03
1746,1527,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",25.45
1747,1128,86,0,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.8
1748,744,19,0,81,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.4
1749,633,21,0,79,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.55
1750,698,43,0,57,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.63
1751,637,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.62
1752,3854,33,25,42,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",64.23
1753,1332,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.2
1754,593,33,0,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.88
1755,664,53,0,47,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.07
1756,813,23,0,77,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.55
1757,826,41,6,53,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.77
1758,438,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.3
1759,1255,76,24,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",20.92
1760,2500,87,13,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",41.67
1761,562,80,20,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.37
1762,868,6,19,75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.47
1763,949,13,6,81,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.82
1764,3543,50,39,12,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",59.05
1765,802,76,18,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.37
1766,346,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",5.77
1767,2042,25,53,22,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",34.03
1768,1645,70,10,20,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.42
1769,942,63,25,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.7
1770,991,19,25,56,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.52
1771,1374,79,0,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.9
1772,475,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.92
1773,846,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.1
1774,681,11,22,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.35
1775,996,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.6
1776,3917,47,29,24,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",65.28
1777,1775,77,13,10,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.58
