"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"542","S8641747",9329,"T02","16/10/13 12:21",100,100,100,80,80,100,100,100,100,100,40,100,NA,NA,4595,"Yes"
"543","S8641813",9690,"T08","15/10/13 17:30",60,100,100,80,100,80,60,80,80,80,100,100,NA,80,4146,"Yes"
"545","S8641871",9531,"T06","21/10/13 12:05",100,100,100,80,100,100,100,100,100,100,100,100,NA,100,4368,"Yes"
"546","S8641873",9198,"T16","6/10/13 22:02",100,100,80,80,100,100,80,80,80,80,100,80,NA,80,4744,"Yes"
"547","S8641877",8853,"T05","5/10/13 13:01",100,100,80,80,100,100,100,80,60,80,80,100,NA,80,4379,"Yes"
"548","S8641897",9045,"T05","5/10/13 13:01",100,100,100,100,100,100,100,80,100,100,60,100,NA,NA,4149,"Yes"
"549","S8641901",9840,"T01","5/10/13 13:01",80,100,80,80,100,100,100,60,100,100,100,100,NA,100,4341,"Yes"
"550","S8641957",9406,"T17","15/10/13 17:26",100,100,100,80,80,100,100,100,100,100,40,100,NA,100,4140,"Yes"
"551","S8641971",9167,"T02","16/10/13 12:21",100,100,100,100,100,100,100,100,100,100,100,100,NA,100,4288,"Yes"
"552","S8642017",9205,"T15","9/10/13 16:24",60,100,100,100,100,100,100,100,80,80,20,80,NA,80,4237,"Yes"
"553","S8642043",9769,"T05","5/10/13 13:01",60,100,100,80,100,100,100,40,60,60,60,100,NA,80,4491,"Yes"
"554","S8642047",9357,"T10","6/10/13 22:02",80,100,60,100,80,100,80,80,80,80,100,100,NA,80,4520,"Yes"
"555","S8642073",10695,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4474,"Yes"
"556","S8642073",9282,"T16","6/10/13 22:02",100,100,60,100,100,100,60,80,60,80,100,100,NA,80,4474,"Yes"
"557","S8642131",9856,"T12","2/10/13 21:37",80,100,100,100,100,100,100,100,100,100,100,100,NA,100,4609,"Yes"
"558","S8642139",9371,"T01","5/10/13 13:01",100,100,60,80,100,100,80,100,100,100,60,100,NA,100,4421,"Yes"
"559","S8642193",9530,"T06","21/10/13 12:05",100,100,60,80,80,100,60,80,100,80,100,100,NA,80,4385,"Yes"
"560","S8642219",9355,"T03","11/10/13 9:08",100,100,100,80,100,100,100,100,80,100,100,100,NA,100,4363,"Yes"
"561","S8642227",9460,"T11","2/10/13 21:37",100,100,80,80,80,100,80,60,80,60,100,100,NA,80,4719,"Yes"
"562","S8642237",9169,"T08","7/10/13 21:33",100,100,100,100,80,100,60,80,100,100,100,80,NA,100,4605,"Yes"
"563","S8642263",8969,"T02","16/10/13 12:21",100,100,40,80,80,100,60,60,80,100,100,100,NA,80,4201,"Yes"
"564","S8642275",8937,"T02","5/10/13 13:01",100,100,100,100,100,100,100,80,80,80,60,100,NA,100,4320,"Yes"
"565","S8642281",8858,"T15","6/10/13 22:02",100,100,100,100,80,100,100,100,100,80,100,100,NA,100,4156,"Yes"
