"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"800","S8646365",7981,"T06","11/09/13 22:50",100,80,80,80,80,100,60,100,100,100,100,100,NA,100,4483,"Yes"
"801","S8646379",6586,"T10","5/09/13 13:01",100,100,80,100,100,80,60,80,80,60,100,80,NA,80,4756,"Yes"
"802","S8646403",8021,"T01","11/09/13 7:14",100,100,60,100,100,60,60,80,80,100,40,80,NA,80,4593,"Yes"
"803","S8646427",6531,"T15","9/09/13 9:19",80,100,80,80,80,80,80,100,100,80,60,80,NA,80,4178,"Yes"
"804","S8646429",8592,"T13","20/09/13 10:56",80,100,80,100,100,80,60,80,80,80,40,80,NA,80,4476,"Yes"
"805","S8646507",8484,"T05","16/09/13 14:07",40,100,80,80,100,100,100,80,60,60,60,100,NA,80,4381,"Yes"
"806","S8646509",6539,"T15","10/09/13 4:17",100,100,100,80,100,80,40,100,100,60,100,80,NA,80,4243,"Yes"
"807","S8646529",8577,"T10","19/09/13 13:10",100,100,80,100,80,80,60,80,60,60,60,80,NA,80,4657,"Yes"
"808","S8646537",8248,"T15","18/09/13 13:25",100,100,100,80,80,100,100,80,80,60,100,80,NA,80,4581,"Yes"
"809","S8646543",6588,"T06","10/09/13 13:40",100,100,80,80,100,100,80,100,100,80,100,100,NA,100,4628,"Yes"
"810","S8646593",8396,"T06","2/09/13 14:16",100,100,80,80,80,100,60,80,80,80,100,100,NA,80,4636,"Yes"
"811","S8646605",8670,"T12","1/09/13 23:17",80,100,40,80,100,80,80,80,80,60,60,80,NA,80,4403,"Yes"
"812","S8646605",7974,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4403,"Yes"
"813","S8646621",6620,"T02","10/09/13 7:53",100,100,100,80,80,100,60,100,100,80,100,100,NA,100,4525,"Yes"
"815","S8646673",8439,"T04","19/09/13 11:10",100,100,80,80,80,80,100,80,80,80,100,80,NA,80,4486,"Yes"
"816","S8646689",8086,"T01","11/09/13 12:55",80,100,80,100,100,100,60,80,80,100,40,80,NA,80,4411,"Yes"
"817","S8646691",6612,"T05","8/09/13 19:09",100,100,60,80,80,100,80,60,60,60,60,100,NA,80,4696,"Yes"
"818","S8646705",8230,"T13","2/09/13 14:16",80,100,100,100,100,100,80,60,60,80,100,80,NA,80,4617,"Yes"
"819","S8646767",6446,"T02","10/09/13 7:53",100,100,100,80,80,100,60,60,60,80,40,100,NA,80,4296,"Yes"
"820","S8646821",8092,"T08","9/09/13 13:18",80,100,80,40,100,80,60,100,80,80,100,100,NA,80,4169,"Yes"
"821","S8646825",8004,"T02","12/09/13 10:54",100,100,80,100,80,100,60,100,100,100,60,80,NA,NA,4119,"Yes"
"822","S8646857",8134,"T15","17/09/13 2:49",80,100,40,80,100,80,40,60,100,80,80,80,NA,80,4444,"No login"
"823","S8646865",9154,"T07","29/09/13 11:32",60,100,80,80,80,80,100,60,60,60,60,80,NA,80,2992,"Yes"
"824","S8646907",8513,"T10","19/09/13 11:27",100,100,80,40,100,80,80,80,80,80,60,80,NA,80,4300,"Yes"
"825","S8646927",8809,"T15","15/09/13 15:07",100,100,100,100,20,100,60,20,20,40,20,20,NA,60,4170,"Yes"
"826","S8646955",8647,"T07","14/09/13 17:11",80,100,100,100,100,100,100,60,100,80,100,100,NA,100,4529,"Yes"
"827","S8647007",8170,"T06","2/09/13 14:16",100,80,60,80,80,100,40,80,80,80,100,100,NA,80,4594,"Yes"
"828","S8647025",8765,"T15","3/09/13 12:57",80,20,20,80,20,60,60,20,40,60,20,60,NA,40,4530,"Yes"
"829","S8647025",8492,"T07","14/09/13 17:11",80,20,20,20,20,60,20,60,60,20,20,40,NA,40,4530,"Yes"
"830","S8647039",8111,"T13","11/09/13 12:55",100,100,100,100,100,100,100,100,100,100,60,100,NA,100,4655,"Yes"
"831","S8647059",8568,"T08","20/09/13 4:11",40,100,100,100,80,60,60,80,80,80,60,100,NA,80,4630,"Yes"
"832","S8647079",8569,"T02","19/09/13 13:10",100,100,60,80,100,100,60,60,100,80,100,100,NA,80,4487,"Yes"
"834","S8647089",8059,"T10","13/09/13 11:23",100,100,100,100,100,100,80,80,100,80,100,100,NA,100,4708,"Yes"
"835","S8647117",8301,"T14","2/09/13 12:10",100,100,100,100,80,100,80,100,100,100,100,100,NA,100,4234,"Yes"
"836","S8647127",8194,"T10","18/09/13 13:25",100,100,60,40,80,60,80,60,40,60,60,80,NA,60,4587,"Yes"
"837","S8647135",8008,"T01","11/09/13 7:14",100,100,60,100,100,60,60,60,80,100,80,100,NA,80,4355,"Yes"
"838","S8647139",8759,"T01","11/09/13 7:14",100,100,40,80,80,60,60,60,60,60,60,60,NA,60,4528,"Yes"
"839","S8647139",8217,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4528,"Yes"
"840","S8647159",7982,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4372,"Yes"
