"","SubmissionID","StudentID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade"
"152",3304,"S8408593","T32","2/05/13 12:24",NA,65,50,35,100,35,35,20,35,35,35,50,50,"50",38.5
"153",3305,"S8566849","T19","29/04/13 14:26",35,35,35,35,50,50,35,35,50,50,50,50,35,"35",41
"154",3306,"S8534971","T32","29/04/13 14:26",35,50,35,35,80,35,20,35,35,20,35,100,50,"80",40.5
"155",3307,"S8597903","T31","29/04/13 14:26",35,50,65,65,65,35,20,35,65,35,35,20,50,"65",43.25
"156",3308,"S8608903","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"157",3309,"S8588255","T30","29/04/13 14:26",50,80,50,80,100,65,50,50,50,50,50,65,50,"65",57.75
"158",3310,"S8593265","T30","29/04/13 14:26",50,100,65,65,100,100,65,65,80,65,65,65,65,"65",69.5
"159",3311,"S8619457","T19","29/04/13 14:26",65,80,80,80,65,80,65,35,65,65,65,65,65,"80",66.5
"160",3312,"S8551691","T31","10/05/13 11:43",35,50,35,65,65,50,35,35,50,35,35,50,35,"50",41.75
"161",3313,"S8510981","T30","29/04/13 14:26",65,100,65,65,65,100,65,80,100,65,50,50,80,"65",71
"162",3314,"S8582195","T30","29/04/13 14:26",50,100,65,65,100,100,50,50,65,50,50,50,65,"65",62
"163",3315,"S8580303","T32","29/04/13 14:26",35,80,80,50,100,100,35,20,35,50,35,80,65,"100",56.75
"164",3316,"S8587235","T32","29/04/13 14:29",50,80,65,80,80,80,50,35,35,35,65,100,35,"35",54.75
"165",3317,"S8588893","T32","29/04/13 14:29",20,65,50,20,80,35,35,35,35,35,50,50,20,"35",38.75
"166",3318,"S8406251","T19","29/04/13 14:29",35,50,50,80,65,65,50,35,50,50,50,50,35,"65",50
"167",3319,"S8580399","T31","29/04/13 14:26",65,100,65,65,100,100,65,80,80,80,65,80,65,"80",76.25
"168",3320,"S8579731","T19","29/04/13 14:29",65,65,35,35,65,80,35,20,35,35,35,50,35,"50",43.25
"169",3321,"S8574607","T30","29/04/13 14:26",65,100,80,80,80,100,65,50,65,65,50,65,65,"80",70
"170",3322,"S8531435","T19","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,80,"100",29
"171",3323,"S8474767","T32","29/04/13 14:31",80,100,100,100,100,80,65,65,80,65,50,100,80,"100",80.25
"172",3324,"S8580361","T09","29/04/13 14:31",35,100,100,100,80,100,50,35,35,35,65,80,65,"80",62.5
"173",3325,"S8528461","T09","2/05/13 12:24",20,100,65,80,50,80,35,20,65,35,50,35,50,"65",48
"174",3326,"S8282157","T26","29/04/13 14:31",50,80,80,65,100,80,35,0,20,20,35,50,50,"50",46
"175",3327,"S8535761","T32","29/04/13 14:31",65,80,80,80,100,80,35,35,65,65,35,80,80,"100",66.25
"176",3328,"S8638075","T30","29/04/13 14:31",65,65,65,80,80,65,65,65,65,65,65,65,65,"65",66.5
"177",3329,"S8577127","T32","29/04/13 14:31",65,80,80,65,100,80,35,20,50,50,20,100,65,"65",58.75
"178",3331,"S8600351","T30","29/04/13 14:31",35,80,50,50,80,65,50,50,35,50,50,50,65,"65",53
"179",3332,"S8538157","T09","29/04/13 14:31",50,100,80,20,100,100,0,20,65,35,20,80,50,"80",51
"180",3333,"S8576659","T26","29/04/13 14:31",100,100,100,100,100,80,100,100,80,100,100,100,80,"100",97
"181",3334,"S8575941","T33","29/04/13 14:31",35,80,35,80,50,35,65,50,35,50,35,65,50,"65",50.75
"182",3335,"S8651257","T33","29/04/13 14:31",20,65,100,35,35,50,35,35,65,35,20,50,35,"50",44.5
"183",3336,"S8577287","T33","29/04/13 14:31",20,35,35,20,100,50,20,20,35,0,20,35,20,"20",26.25
"184",3337,"S8536879","T30","29/04/13 14:31",50,100,65,65,100,100,50,35,35,35,50,50,50,"35",54.5
"185",3338,"S8465383","T26","29/04/13 14:31",20,100,80,50,100,50,20,35,50,20,50,65,35,"35",45.25
"186",3339,"S8456015","T26","29/04/13 14:31",50,100,100,80,80,100,35,50,100,50,50,80,65,"50",66.25
"187",3340,"S8589447","T09","29/04/13 14:31",20,100,50,80,100,80,35,35,35,35,20,35,35,"65",46.75
"188",3341,"S8570477","T30","29/04/13 14:30",65,100,65,50,100,50,65,65,65,65,50,65,65,"65",66.25
"189",3342,"S8523503","T30","29/04/13 14:30",50,80,65,80,65,50,65,65,50,50,65,65,50,"65",60.5
"190",3343,"S8581807","T09","29/04/13 14:30",20,65,35,20,100,80,20,35,35,0,20,65,20,"35",33
"191",3344,"S8466385","T09","29/04/13 14:30",20,65,65,20,100,80,20,35,35,20,20,65,20,"35",39
"192",3345,"S8583795","T26","29/04/13 14:30",65,100,80,65,100,80,65,65,65,80,80,80,35,"35",71.5
"193",3346,"S8567033","T33","29/04/13 14:30",35,80,35,50,20,35,35,35,20,35,35,35,35,"50",37.25
"194",3347,"S8578943","T30","29/04/13 14:30",50,80,65,100,80,80,50,50,80,50,65,65,65,"50",62.25
"195",3348,"S8532807","T26","29/04/13 14:30",80,100,80,0,65,65,35,50,65,50,65,65,50,"50",58.25
"196",3349,"S8474175","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"197",3350,"S8580193","T09","29/04/13 14:30",20,65,65,20,80,65,50,35,50,35,35,80,20,"35",44.75
"198",3351,"S8586901","T32","29/04/13 14:30",65,100,35,65,100,80,50,80,80,65,80,100,80,"100",72
"199",3352,"S8579853","T30","29/04/13 14:30",65,100,65,65,80,50,65,50,65,50,65,65,65,"100",64.75
"200",3353,"S8585105","T26","29/04/13 14:30",65,80,80,65,100,65,50,50,35,50,35,65,65,"65",60.75
"201",3354,"S8578527","T32","29/04/13 14:30",50,65,65,50,80,65,35,35,20,35,50,80,65,"65",50.75
"202",3355,"S8579953","T33","29/04/13 14:30",80,100,50,50,80,65,100,80,100,100,80,100,100,"100",84.75
"203",3356,"S8401995","T09","29/04/13 14:30",20,35,65,65,80,100,0,35,35,35,35,65,65,"50",43.75
"204",3357,"S8581691","T32","29/04/13 14:30",65,80,80,80,100,80,65,50,65,80,50,100,100,"65",74
"205",3358,"S8579973","T09","29/04/13 14:30",100,100,65,100,80,100,20,35,65,50,65,65,65,"50",64
"206",3359,"S8458433","T32","29/04/13 14:30",35,50,35,35,100,80,20,20,35,35,0,50,35,"65",38.75
"207",3360,"S8583291","T33","29/04/13 14:30",50,100,65,50,80,65,65,65,35,65,50,65,65,"80",63.75
"208",3361,"S8579545","T26","29/04/13 14:30",20,100,80,0,100,65,20,0,20,20,20,50,65,"65",39.25
"209",3362,"S8526807","T09","29/04/13 14:30",20,100,65,20,100,100,50,0,50,35,20,65,35,"50",45.75
"210",3363,"S8532163","T33","29/04/13 14:29",35,80,50,80,100,80,50,35,80,50,65,65,65,"65",58.5
"211",3364,"S8497039","T33","29/04/13 14:29",20,65,35,65,100,35,35,35,35,20,35,35,35,"35",37.5
"212",3365,"S8473749","T32","29/04/13 14:30",35,65,50,50,100,65,50,20,20,20,35,100,80,"65",47.5
"213",3366,"S8600241","T32","29/04/13 14:30",65,80,50,50,100,80,100,100,100,100,65,100,100,"100",85.25
"214",3367,"S8584303","T32","29/04/13 14:30",80,50,80,50,100,35,50,65,65,35,50,80,50,"50",59.25
"215",3368,"S8525231","T09","29/04/13 14:30",35,100,65,50,80,100,35,35,80,50,35,65,20,"65",54.25
"216",3369,"S8496455","T32","29/04/13 14:30",50,65,65,50,80,50,35,50,50,35,35,80,80,"80",53.75
"217",3370,"S8386049","T30","29/04/13 14:30",65,80,65,50,100,100,50,65,65,50,50,35,35,"35",59.5
"218",3371,"S8606169","T09","29/04/13 14:30",65,100,50,65,100,100,50,35,80,65,50,80,35,"65",63.5
"219",3372,"S8393353","T09","29/04/13 14:30",35,100,100,65,100,100,50,50,80,35,20,50,35,"35",58
"220",3373,"S8583847","T30","29/04/13 14:30",50,100,65,100,100,100,65,80,80,65,65,65,65,"80",73.5
"221",3374,"S8529435","T32","29/04/13 14:30",35,65,100,100,100,80,35,35,65,50,50,80,50,"50",60
"222",3375,"S8547953","T33","29/04/13 14:30",35,80,35,100,100,35,65,50,50,50,65,80,80,"80",59.5
"223",3376,"S8581873","T33","29/04/13 14:30",80,65,35,100,100,35,80,65,35,65,80,65,65,"80",67
"224",3377,"S8578079","T30","29/04/13 14:30",35,80,65,0,80,65,35,20,35,35,35,50,50,"65",43.75
"225",3378,"S8578783","T26","29/04/13 14:30",65,65,65,50,100,65,35,35,80,50,50,65,65,"50",57
"226",3379,"S8577303","T32","29/04/13 14:30",100,100,65,50,100,65,65,65,100,80,65,100,80,"100",79.5
"227",3380,"S8579637","T09","29/04/13 14:30",80,100,50,65,100,80,50,50,80,65,50,80,50,"80",67
"228",3381,"S8581963","T30","29/04/13 14:30",65,100,80,100,100,100,65,80,80,65,65,80,65,"80",77.25
"229",3382,"S8530747","T26","29/04/13 14:30",35,65,50,65,100,80,65,50,65,50,50,65,65,"65",58.5
"230",3383,"S8588109","T32","29/04/13 14:30",50,80,80,65,100,80,35,35,50,50,35,80,65,"80",59.25
"231",3384,"S8575693","T33","29/04/13 14:30",65,80,50,80,80,50,65,65,100,80,65,80,80,"80",71.25
"232",3385,"S8492895","T26","29/04/13 14:30",100,100,100,100,100,100,100,100,80,100,100,100,100,"100",99
"233",3386,"S8583465","T30","29/04/13 14:29",50,80,50,80,80,65,50,65,65,50,65,65,65,"65",60.5
"234",3387,"S8570207","T26","29/04/13 14:29",80,100,50,65,50,65,80,80,80,80,80,80,80,"80",75
"235",3388,"S8358393","T30","29/04/13 14:29",50,100,65,65,80,100,65,65,65,50,65,65,50,"65",64.75
"236",3389,"S8549911","T33","29/04/13 14:29",20,50,65,50,50,50,35,20,35,20,20,35,20,"20",33.5
"237",3390,"S8468457","T09","29/04/13 14:29",35,100,80,20,100,100,35,35,20,35,20,80,50,"50",50.75
